CustomerID,Age,Annual Income,Spending Score
1,19,15000,39
2,21,15000,81
3,20,16000,6
4,23,16000,77
5,31,17000,40
6,22,17000,76
7,35,18000,6
8,23,18000,94
9,64,19000,3
10,30,19000,72
11,67,20000,14
12,35,20000,99
13,58,21000,15
14,24,23000,77
15,37,24000,13
16,22,25000,79
17,35,28000,35
18,20,28000,66
19,52,29000,29
20,35,30000,98
21,30,33000,35
22,23,33000,73
23,60,34000,5
24,24,37000,73
25,29,38000,14
26,31,39000,72
27,40,40000,35
28,66,40000,5
29,32,42000,73
30,48,43000,22
31,34,43000,91
32,25,46000,20
33,43,46000,52
34,26,46000,86
35,37,48000,50
36,19,48000,88
37,22,50000,36
38,41,54000,46
39,30,54000,55
40,54,54000,24
41,28,60000,45
42,41,60000,56
43,36,61000,45
44,32,62000,47
45,28,63000,42
46,36,63000,52
47,44,63000,60
48,24,65000,54
49,27,67000,42
50,37,67000,55
51,53,72000,19
52,25,73000,82
53,31,73000,75
54,42,75000,88
55,35,78000,76
56,46,78000,16
57,23,79000,89
58,29,80000,78
59,60,81000,12
60,30,85000,83
61,58,86000,5
62,24,87000,91
63,26,88000,95
64,28,92000,79
65,38,93000,76
66,62,93000,7
67,29,97000,86
68,22,98000,92
69,63,99000,11
70,31,101000,82
71,55,103000,4
72,25,104000,93
73,32,108000,72
74,26,113000,97
75,57,114000,9
76,23,115000,99
77,38,118000,78
78,64,120000,2
79,25,126000,93
80,30,130000,73

