StudentID,Math,Science,English
1,85,90,88
2,42,38,45
3,91,87,93
4,35,40,32
5,78,82,80
6,28,33,30
7,88,92,85
8,45,42,48
9,92,88,91
10,30,28,35
11,76,80,78
12,38,35,40
13,89,94,87
14,33,30,28
15,82,78,84
16,40,45,38
17,95,91,93
18,48,42,50
19,80,85,82
20,25,30,27
21,87,83,90
22,43,48,40
23,93,90,88
24,32,27,35
25,75,80,77
26,36,32,38
27,90,86,92
28,47,50,45
29,84,88,80
30,29,25,33
31,78,75,82
32,41,38,42
33,96,92,94
34,34,40,30
35,81,84,79
36,27,32,28
37,88,90,86
38,50,45,52
39,77,82,75
40,22,28,25
41,86,80,88
42,44,40,46
43,92,95,90
44,37,33,35
45,79,76,81
46,31,35,29
47,94,89,92
48,46,50,43
49,83,87,85
50,26,22,30
51,90,85,88
52,39,42,36
53,87,91,84
54,33,28,37
55,76,78,80
56,42,45,38
57,93,88,91
58,48,43,50
59,81,85,78
60,24,30,26

